"AAC Keys";"AAC Keys is a keyboard and mouse emulation program for Microsoft Windows-based and Macintosh computers. AAC Keys receives commands through your computer's serial port and translates them into keystrokes and mouse movements, giving you full control of your computer from another device such as an AAC system. (If your computer has only USB ports, an inexpensive adapter is available.)";"<h2 class=""Heading"">From the authors:</h2><p><br /></p><p>AAC Keys is a keyboard and mouse emulation program for Microsoft Windows-based      and <strong>Macintosh</strong> computers. </p>   <p>AAC Keys receives commands through your computer's serial port and translates      them into keystrokes and mouse moves, giving you full control of your computer      from another device. AAC Keys implements the common <a href=""/web/20150711141053/http://trace.wisc.edu/docs/gidei/toc.htm""><strong>GIDEI</strong></a>      (General Input Device Emulating Interface) commands (see below). </p>   <p>AAC Keys has been designed to work with Windows 95, Windows 98, Windows Me,      Windows NT 4, and Windows 2000 operating systems. </p>   <p>A Macintosh version was developed following the introduction      of OS X . (Earlier Macintosh operating systems included SerialKeys.) The Macintosh      version was developed by computer science students at <strong><a href=""/web/20150711141053/http://cs.millersville.edu/"">Millersville      University of Pennsylvania</a></strong> under the supervision of <a href=""/web/20150711141053/http://cs.millersville.edu/%7Eliffick/""><strong>Dr.      Blaise Liffick</strong></a>.</p>";"help-http://www.aacinstitute.org/Resources/ProductsandServices/AACKeys/AACKeysHelp.html,project_home_page-http://www.aacinstitute.org/Resources/ProductsandServices/AACKeys/AACKeys.html";Alternative and Augmentative Communication,Communication,Using the Mouse;http://www.aacinstitute.org/Resources/ProductsandServices/AACKeys/AACKeys.html
"Accerciser";"Accerciser is an interactive Python accessibility explorer for the GNOME desktop. It uses AT-SPI to inspect and control widgets, allowing you to check if an application is providing correct information to assistive technologies and automated test frameworks.";"<p>This is to announce the first development release of Accerciser for the 1.4.0 (GNOME 2.24) cycle.</p><p></p><p>Accerciser has a simple plug-in framework which you can use to create custom views of accessibility information.</p><p> </p><p>Accerciser is also the first GNOME module, if ordered alphabetically.</p><p> </p><p>==============</p><p>Version 1.3.1</p><p>==============</p><p></p><p>What's new</p><p>==========</p><p>- Implement save functionality, thanks Brian Merrell.</p><p>- Quick select works better for finding accessible under mouse.</p><p>- Check pyatspi version.</p><p></p><p>New And Updated Translations</p><p>============================</p><p>- David Lodge (en_GB)</p><p>- Jorge González (es)</p><p>- Kjartan Maraas (nb)</p><p>- Laurent Dhima (sq)</p><p>Downloading Accerciser</p><p>======================</p><p><a href=""/web/20081006100655/http://ftp.gnome.org/pub/GNOME/sources/accerciser/1.3/accerciser-1.3.1.tar.bz2"">http://ftp.gnome.org/pub/GNOME/sources/accerciser/1.3/accerciser-1.3.1.tar.bz2</a></p><p><a href=""/web/20081006100655/http://ftp.gnome.org/pub/GNOME/sources/accerciser/1.3/accerciser-1.3.1.tar.gz"">http://ftp.gnome.org/pub/GNOME/sources/accerciser/1.3/accerciser-1.3.1.tar.gz</a></p>";"";General Tools,General Tools;http://ftp.gnome.org/pub/GNOME/sources/accerciser/1.3/accerciser-1.3.1.tar.gz
"Accessible BBC Listen Again";"The British Broadcast Company (BBC) allows people to listen to vast quantities of their radio output up to a week after it is first broadcast on one of their dozens of radio stations. This service, called Listen Again, relies on a web browser interface that might be difficult for some users, especially people with screen readers. Accessible BBC Listen Again allows you to access the BBC's Listen Again content through a truly accessible interface designed to work with any screen reader.";"<h2 class=""Heading"">From the authors:</h2><p><br /></p><p>Select programmes and stations with the cursor keys and listen to them at your leisure. You get easy and simple access to hours of programming, including the ever-popular ""The Archers"" and ""In Touch"". </p><p>The new version (2.1) lets you access all of the Listen Again content among many other improvements (thanks to everyone for their suggestions!) It does still require that you have already installed <a title=""BBC version of RealPlayer"" href=""/web/20100610102158/http://www.bbc.co.uk/radio/audiohelp_install.shtml"">RealPlayer from Real</a>. The copyright of the BBC recordings is unchanged: you are simply accessing them through a more accessible presentation of their own website. Version 2.1 should work better on more machines: several users contacted me with problems with 2.0</p>";"project_home_page-http://www.webbie.org.uk/accessiblebbc/index.htm";Text to Speech,Viewing the screen,Accessing the Web;http://www.webbie.org.uk/download.htm
"Accessible Radio";"Accessible Radio is a way to listen to radio stations on the internet that is easy and simple to use and is designed to work with any screen reader.";"<p>Accessible Radio lets you listen to any of the BBC Radio stations.<br /></p>";"project_home_page-http://www.webbie.org.uk/accessibleradio/index.htm";Text to Speech,Viewing the screen,Accessing the Web;http://www.webbie.org.uk/accessibleradio/index.htm
"Accessible RSS";"Interested in keeping up with the headlines and newspapers? A new technology called RSS has recently taken the Internet by storm. Websites provide ""feeds"" of their latest stories and headlines, and you can get these simple lists, updated every few minutes.  Accessible RSS is an accessible application that lets you access these RSS feeds.  NOTE: Accessible RSS is now included in the WebbIE3 installation.";"<h2 class=""Heading"">From the authors:</h2><p><strong>Accessible RSS</strong> is an accessible application that  lets you access these RSS feeds. It displays the headlines from web  pages that support RSS. At present four sites (the BBC, the Daily Mail,  the Guardian and the Daily Telegraph) are supported, but you can add  your own if you find a site with an RSS feed. If you have WebbIE you can  press return on a story to launch WebbIE with that story page, but you  do not need WebbIE to read the feeds. If you do not have WebbIE the  story will be shown in Internet Explorer</p> <ul><li><a title=""Installer for AccessibleRSS and WebbIE"" href=""/web/20140608112049/http://www.webbie.org.uk/download/WebbIE3-Installer.msi"">WebbIE 3 Installer</a> - includes the latest Accessible RSS News Reader.</li></ul> <p>You are likely to find that some feeds don't work: this may be  because the feed is not valid. You can check the feed's validity at the <a href=""/web/20140608112049/http://feedvalidator.org/"">Feed Validator service</a>.</p>";"project_home_page-http://www.webbie.org.uk/accessiblerss/index.htm";Text to Speech,Viewing the screen,Accessing the Web;http://www.webbie.org.uk/accessiblerss/index.htm
"Accessible Web Directory";"This simple program lets you explore the DMOZ web directory, a catalogue of good websites.  NOTE: Accessible Web Directory is now included in the WebbIE3 installation.";"<p>This simple program lets you explore the <a href=""/web/20140623052956/http://www.dmoz.org/"">DMOZ web directory</a>,  a catalogue of good websites. It's an alternative way to find web pages  of interest. Simply explore categories of web pages and when you find  one you like in the catalogue Accessible Web Directory will open it in  your default web browser.</p>";"help-http://www.oatsoft.org/Software/accessible-web-directory/help,project_home_page-http://www.webbie.org.uk/accessiblewebdirectory/index.htm";Text to Speech,Viewing the screen,Accessing the Web;http://www.webbie.org.uk/accessiblewebdirectory/index.htm
"AccessiblePodcatcher";"AccessiblePodcatcher (formerly AccessiblePodcaster) is a simple way for blind and screen reader users to use podcasts.";;"help-http://www.oatsoft.org/Software/accessiblepodcatcher/help,project_home_page-http://www.webbie.org.uk/accessiblepodcatcher/index.htm";Text to Speech,Viewing the screen,Accessing the Web;http://www.webbie.org.uk/download/AccessiblePodcatcher-en-Installer1_4.exe
"ACollab";"ACollab is an accessible, open source, multi-group, Web-based collaborative work environment. Group member, group administrator, and system administrator tools are all compliant with international accessibility standards (WCAG 1.0, Section 508 US) so people with disabilities can participate fully in collaborative and administrative activities.";"<p>ACollab is available as a work groups <strong>addon for ATutor 1.4+</strong> , and as a standalone collaborative work environment that will run on its own. ACollab is ideal for groups working at a distance developing documentation, collaborating on research, or writing joint papers, and ideal for online educators who wish to add group learning activities to their ATutor courses. A <a href=""acollab/demo.php"">demo</a> and <a href=""acollab/download.php"">download</a> are available if you want to learn more. Or, read on for a list of <a href=""portal_factory#features"">ACollab features</a>.</p><h2 class=""Heading""></h2><h2 class=""Heading"">ACollab Features: </h2><ul><li><strong>Document Drafting Room</strong>: Group members can work within a Web-based document versioning system, collaborating on document development and publication. Documents developed in the Drafting Room can be transferred to the Shared Documents Library once finalized. </li><li><strong>Shared Documents Library</strong>: Group members can submit documents to the library, from which other group members, or public members, can retrieve those documents for viewing or downloading. </li><li><strong>Events Calendar</strong>: Events can be posted to the calendar by all group members, to announce activities, meetings, due dates, or other group related happenings. </li><li><strong>News &amp; Announcements</strong>: Group administrators, or system administrators, can post news to be presented to users when they first login to a group. </li><li><strong>Group Membership Index</strong>: Group members can view other group members' profiles and contact information. </li><li><strong>Mail Inbox</strong>: Members can communicate with each other privately. </li><li><strong>AChat-PHP</strong>: Accessible synchronous communication is possible between group members, ideal for online meetings or group socializing. </li><li><strong>AForum</strong>: AForum is an enhanced version for the ATutor forums. Members post message for others to retrieve later. Forums can be set to read only, reply only, as open discussion, or can be hidden from view. </li><li><strong>Multi-Lingual Interface</strong>: Language can be modified by system administrators, or new language packs can be created using the ATutor.ca translation tools. </li><li><strong>Accessibility Compliance</strong>: Group member, group administrator, and system administrator tools are all compliant with international accessibility standards (WCAG 1.0, Section 508 US) so people with disabilities can participate fully in collaborative and administrative activities. </li><li><strong>Group Leaders</strong>: Create chat transcripts, define folders for sorting documents, assign group membership roles, create and manage forums, create mailing lists, post news and announcements, and manage group members. </li><li><strong>System Administrator</strong>: Create and manage groups, manage the system languages, and manage all users on a system. </li></ul><p><br /></p>";"help-http://www.atutor.ca/acollab/docs/howto.php,project_home_page-http://www.atutor.ca/acollab/index.php,support-http://www.atutor.ca/forum/16/1.html";Educational and Learning,Text input Projects,Alternative Access,Learning and Education;http://www.atutor.ca/acollab/download.php
"Acomm";"AComm is an accessible Java-based Instant Messaging and Whiteboard tool. It has been designed to allow assistive technology users to participate in synchronous Internet-based communication activities that have traditionally been inaccessible to them.";"<p><br /></p><h2 class=""Heading"">AComm Features</h2><ul type=""none""><li>User can login to an existing Jabber account or sign up for a new one. </li><li>Roster provides ""presence"" information for contacts. </li><li>Users can participate in private or group chat/whiteboard sessions </li><li>Text chat window and optional whiteboard </li><li>Participant list on demand. </li><li>A variety of whiteboard drawing tools are available </li><li>Peer description allows any participant to describe the drawn objects. Anti-collision feature ensures one describer per object. </li><li>Accessibility options <ul><li>Option to play sound effect when a new message arrives. </li><li>Keyboard drawing checkbox </li><li>Manual refresh checkbox </li><li>Show only new checkbox </li><li>Newest message first checkbox </li></ul></li><li>Keyboard enabled drawing lets users use some features of the whiteboard without a mouse. </li><li>Save and open palette feature lets users create and describe pictures beforehand. </li></ul><h2 class=""Heading"">Requirements</h2><ul type=""none""><li><p>AComm is a Java application and requires that a Java Runtime Environment be installed on system it is running on.</p></li></ul>";"help-http://www.oatsoft.org/Software/acomm/help,project_home_page-http://www.atutor.ca/acomm/index.php,support-http://www.atutor.ca/forums/index.php";Educational and Learning,General Tools,Accessing the Web,Alternative Access,Learning and Education;http://www.atutor.ca/acomm/download.php
"Acta";"Acta is an outline processor. It lets you organize just about anything -- reports, ideas, lists, projects, graphics -- in the form of an outline, where topics have subtopics.";;"help-http://www.oatsoft.org/Software/acta/help,project_home_page-http://www.a-sharp.com/acta/acta.html";Educational and Learning,General Tools,Other function,Learning and Education,General Tools,Other need;http://www.a-sharp.com/acta/download.html
